system,src,lsu,isr,time,access_deny,memory_label,injection,bot_policy,n_items,seed
gemini:gemini-2.5-pro,0.85,0.9667,0.7333,1.0,0.75,0.5833,0.9167,1.0,75,0
openai:gpt-4o-mini,0.8333,0.8667,0.8,1.0,0.8333,0.75,0.8333,0.75,75,0
openai:gpt-5.5,0.8167,0.7667,0.8667,1.0,0.75,0.8333,0.8333,0.6667,75,0
openai:gpt-5.1,0.8,0.8,0.8,1.0,0.8333,0.6667,0.9167,0.5833,75,0
claude-code:claude-opus-4-8,0.7667,0.7667,0.7667,0.75,0.75,0.9167,0.75,0.6667,75,0
claude-code:claude-haiku-4-5-20251001,0.6833,0.5,0.8667,1.0,0.75,0.6667,0.5833,0.4167,75,0
openai:gpt-4.1,0.6833,0.8,0.5667,0.9167,0.5,0.5833,0.8333,0.5833,75,0
openrouter:qwen/qwen-2.5-72b-instruct,0.6667,0.8333,0.5,0.8333,0.5,0.6667,0.6667,0.6667,75,0
claude-code:claude-sonnet-5,0.65,0.5,0.8,0.6667,0.9167,0.75,0.4167,0.5,75,0
gemini:gemini-2.5-flash,0.65,0.8333,0.4667,0.9167,0.5,0.5833,0.6667,0.5833,75,0
openrouter:meta-llama/llama-3.1-8b-instruct,0.6333,0.5,0.7667,0.8333,0.5,0.6667,0.75,0.4167,75,0
openrouter:qwen/qwen3-next-80b-a3b-instruct,0.5833,0.9,0.2667,0.8333,0.5,0.4167,0.5833,0.5833,75,0
openrouter:deepseek/deepseek-chat,0.5667,0.7333,0.4,0.8333,0.5833,0.5833,0.5833,0.25,75,0
openrouter:meta-llama/llama-3.3-70b-instruct,0.4167,0.5333,0.3,0.75,0.0833,0.5833,0.5833,0.0833,75,0
openrouter:microsoft/phi-4,0.4167,0.4,0.4333,0.8333,0.0,0.6667,0.5833,0.0,75,0
openrouter:mistralai/mistral-small-24b-instruct-2501,0.4167,0.4333,0.4,0.6667,0.0,0.8333,0.5833,0.0,75,0
openrouter:google/gemma-2-27b-it,0.4,0.4333,0.3667,0.6667,0.0,0.75,0.5,0.0833,75,0
openrouter:qwen/qwen-2.5-7b-instruct,0.3833,0.5,0.2667,0.4167,0.1667,0.5,0.5,0.3333,75,0
openrouter:meta-llama/llama-3.2-3b-instruct,0.3667,0.3,0.4333,0.5,0.0,0.6667,0.6667,0.0,75,0
openrouter:mistralai/mistral-nemo,0.3167,0.5333,0.1,0.5833,0.0833,0.3333,0.5,0.0833,75,0
openrouter:nousresearch/hermes-3-llama-3.1-70b,0.3,0.4667,0.1333,0.6667,0.0,0.5,0.3333,0.0,75,0
